Id,First Name,Last Name,Full Name,Team Id,Team Name,Team Abbreviation,Conference,Division,Position,Height,Weight,Jersey Number,College,Country,Draft Year,Draft Round,Draft Number,Status
1092116264,Michael,Ajayi,Michael Ajayi,4,Charlotte Hornets,CHA,East,Southeast,G,6-7,235,,Butler,USA,,,,Active
1092116681,Kylan,Boswell,Kylan Boswell,4,Charlotte Hornets,CHA,East,Southeast,G,6-2,200,,Illinois,USA,,,,Active
1092195008,Quadir,Copeland,Quadir Copeland,11,Houston Rockets,HOU,West,Southwest,G,6-6,203,,North Carolina State,USA,,,,Active
1092197212,Duke,Miles,Duke Miles,23,Philadelphia 76ers,PHI,East,Atlantic,G,6-2,175,,Vanderbilt,USA,,,,Active
1092199635,Tarik,Biberovic,Tarik Biberovic,7,Dallas Mavericks,DAL,West,Southwest,F,6-7,218,,                                   ,Bosnia and Herzegovina,2023,2,56,Active
1092199652,Nate,Bittle,Nate Bittle,28,Toronto Raptors,TOR,East,Atlantic,C,7-0,215,,Oregon,USA,,,,Active
1092288797,Tucker,DeVries,Tucker DeVries,2,Boston Celtics,BOS,East,Atlantic,,,,,Indiana,,,,,Active
1092288834,Alpha,Diallo,Alpha Diallo,8,Denver Nuggets,DEN,West,Northwest,,,,,-,,,,,Active
1092292401,Milos,Uzan,Milos Uzan,2,Boston Celtics,BOS,East,Atlantic,G,6-3,175,,Houston,USA,,,,Active
1092732494,Arthur,Kaluma,Arthur Kaluma,14,Los Angeles Lakers,LAL,West,Pacific,F,6-7,225,,Texas,Uganda,,,,Active
1094002723,Malik,Dia,Malik Dia,19,New Orleans Pelicans,NOP,West,Southwest,F,6-9,250,8,Mississippi,USA,,,,Active
1094642691,Rafael,Castro,Rafael Castro,11,Houston Rockets,HOU,West,Southwest,C,6-11,220,,George Washington,USA,,,,Active
1094831183,J'Vonne,Hadley,J'Vonne Hadley,16,Miami Heat,MIA,East,Southeast,,,,,Louisville,,,,,Active
1095497363,Khalifa,Diop,Khalifa Diop,6,Cleveland Cavaliers,CLE,East,Central,C,6-11,231,18,CB Gran Canaria,Senegal,2022,2,39,Active
1095634078,Jarkel,Joiner,Jarkel Joiner,4,Charlotte Hornets,CHA,East,Southeast,G,6-1,181,,North Carolina State,USA,,,,Active
1095855040,Kobe,Stewart,Kobe Stewart,4,Charlotte Hornets,CHA,East,Southeast,G-F,6-6,180,,Presbyterian,USA,,,,Active
